$0,$1,$2,$3,$4,$5,$6,$<0,$<1,$<2
1,1,0,0,1,0,0,2.0,1.0,2.903
1,1,1,0,0,0,0,9.0,0.0,1.413
1,1,1,1,1,0,0,4.0,0.0,3.679
0,1,0,1,0,0,0,10.0,0.0,0.77
0,1,0,1,1,0,0,6.0,0.0,2.417
1,0,1,0,1,1,0,1.0,1.0,4.179
0,0,0,1,1,1,1,2.0,0.0,3.811
1,1,1,0,0,1,0,5.0,0.0,3.056
0,1,0,0,1,0,0,4.0,1.0,2.105
0,0,1,0,0,1,1,3.0,0.0,2.888
0,0,0,0,0,0,1,11.0,0.0,0.374
1,1,1,1,0,1,0,4.0,0.0,3.676
1,1,0,0,0,0,0,6.0,0.0,1.257
1,0,0,1,0,1,1,1.0,0.0,3.743
0,0,1,1,1,1,0,5.0,0.0,3.692
0,1,1,1,1,0,1,4.0,1.0,3.354
0,0,0,0,1,1,0,7.0,1.0,2.51
1,0,1,1,0,0,1,8.0,0.0,2.256
0,0,0,0,1,0,0,8.0,1.0,1.646
0,0,0,1,0,1,0,4.0,0.0,2.57
0,1,1,0,0,1,1,5.0,1.0,2.731
0,0,0,1,1,1,1,2.0,0.0,3.811
1,1,1,1,0,1,1,3.0,1.0,4.05
0,1,1,1,0,1,1,4.0,1.0,3.35
0,1,0,1,0,0,0,10.0,0.0,0.77
1,0,1,0,1,1,0,1.0,1.0,4.179
0,0,1,0,0,0,0,8.0,0.0,0.871
0,0,1,1,1,0,1,5.0,0.0,3.203
1,1,0,1,1,0,1,4.0,1.0,3.49
1,0,1,0,1,1,1,0.0,1.0,4.553
0,1,0,1,1,0,0,6.0,0.0,2.417
0,0,0,0,0,0,0,12.0,0.0,0.0
0,0,0,1,0,0,0,8.0,0.0,0.927
0,1,0,0,0,0,0,8.0,0.0,0.458
0,0,1,0,1,0,0,4.0,1.0,2.517
1,0,0,1,0,1,1,1.0,0.0,3.743
1,0,1,1,1,0,0,5.0,0.0,3.528
0,1,1,1,0,1,1,4.0,1.0,3.35
0,0,0,1,0,0,1,7.0,0.0,1.301
0,1,0,0,0,1,0,4.0,0.0,2.101
0,0,0,0,1,0,1,7.0,1.0,2.02
0,0,1,1,0,0,0,10.0,0.0,1.183
0,1,0,0,0,0,1,7.0,1.0,0.833
1,1,1,1,1,0,0,4.0,0.0,3.679
0,1,1,1,0,0,0,9.0,0.0,1.333
0,1,1,1,0,0,1,8.0,1.0,1.707
1,1,0,1,1,1,0,4.0,0.0,3.98
0,0,1,0,1,1,0,3.0,1.0,3.38
0,0,0,0,1,1,1,6.0,1.0,2.884
0,0,0,0,1,0,0,8.0,1.0,1.646
0,0,0,1,1,0,1,3.0,0.0,2.948
1,0,1,0,1,1,0,1.0,1.0,4.179
0,0,1,1,1,1,1,4.0,0.0,4.066
0,1,1,1,0,0,0,9.0,0.0,1.333
0,0,1,0,1,1,0,3.0,1.0,3.38
0,0,1,0,0,0,1,7.0,0.0,1.245
1,0,0,0,0,1,0,7.0,0.0,2.343
1,1,0,0,1,1,1,0.0,2.0,4.141
0,0,1,0,1,0,1,3.0,1.0,2.891
0,0,1,0,1,0,1,3.0,1.0,2.891
1,0,1,1,1,0,1,4.0,0.0,3.902
0,0,1,1,0,1,1,5.0,0.0,3.2
1,1,0,0,1,1,1,0.0,2.0,4.141
0,1,1,1,0,1,0,5.0,0.0,2.976
0,1,0,1,0,0,0,10.0,0.0,0.77
0,0,0,1,0,0,1,7.0,0.0,1.301
1,1,1,1,1,0,0,4.0,0.0,3.679
1,0,0,1,0,0,1,5.0,0.0,2.1
0,0,1,0,1,0,0,4.0,1.0,2.517
1,0,0,0,1,0,1,6.0,1.0,2.72
1,0,0,0,0,1,1,6.0,0.0,2.717
1,1,0,1,0,1,0,5.0,0.0,3.113
0,0,1,0,1,1,0,3.0,1.0,3.38
1,1,0,1,0,1,0,5.0,0.0,3.113
0,0,0,0,0,0,0,12.0,0.0,0.0
0,1,0,0,1,1,1,2.0,2.0,3.342
1,0,0,1,0,0,1,5.0,0.0,2.1
1,0,0,1,0,1,0,2.0,0.0,3.369
0,1,0,0,1,0,0,4.0,1.0,2.105
1,0,1,0,0,1,1,1.0,0.0,3.686
0,1,0,1,0,0,0,10.0,0.0,0.77
1,1,0,0,0,0,0,6.0,0.0,1.257
0,0,1,0,0,1,0,4.0,0.0,2.514
1,1,1,0,0,0,0,9.0,0.0,1.413
0,0,0,0,0,0,1,11.0,0.0,0.374
0,1,1,0,1,0,0,6.0,1.0,2.36
1,0,1,1,1,1,1,3.0,0.0,4.766
0,1,1,0,1,1,0,5.0,1.0,3.223
1,1,1,0,0,0,0,9.0,0.0,1.413
1,0,0,0,1,0,0,7.0,1.0,2.346
1,0,0,0,0,1,1,6.0,0.0,2.717
0,0,0,0,1,1,0,7.0,1.0,2.51
1,0,0,1,0,1,1,1.0,0.0,3.743
0,1,1,1,0,0,0,9.0,0.0,1.333
0,1,0,0,1,0,0,4.0,1.0,2.105
1,1,1,1,1,0,1,3.0,1.0,4.053
0,1,1,0,0,1,1,5.0,1.0,2.731
0,0,1,0,1,0,1,3.0,1.0,2.891
1,1,1,1,1,1,0,3.0,0.0,4.543
1,0,0,1,0,0,1,5.0,0.0,2.1
1,0,0,0,0,0,0,11.0,0.0,0.7
1,1,0,1,1,0,0,5.0,0.0,3.116
1,1,0,0,0,1,0,2.0,0.0,2.9
0,1,1,1,1,0,0,5.0,0.0,2.98
0,1,0,1,1,0,1,5.0,1.0,2.791
1,0,0,1,1,1,1,0.0,0.0,4.61
1,0,1,1,0,1,0,5.0,0.0,3.525
1,1,0,0,1,0,1,1.0,2.0,3.277
1,1,1,1,0,1,0,4.0,0.0,3.676
0,1,1,1,1,1,0,4.0,0.0,3.843
1,1,0,0,1,1,1,0.0,2.0,4.141
0,1,0,0,1,1,1,2.0,2.0,3.342
1,0,0,1,0,0,0,6.0,0.0,1.726
0,1,0,0,1,1,1,2.0,2.0,3.342
1,1,0,1,0,0,1,8.0,1.0,1.844
0,0,0,1,0,0,1,7.0,0.0,1.301
1,1,0,0,1,1,0,1.0,1.0,3.767
0,1,0,0,0,0,1,7.0,1.0,0.833
0,1,0,1,1,1,1,4.0,1.0,3.654
1,1,1,0,0,1,1,4.0,1.0,3.43
1,1,1,1,0,0,1,7.0,1.0,2.407
1,1,0,0,1,0,1,1.0,2.0,3.277
0,0,0,0,0,1,1,7.0,0.0,2.017
0,1,1,0,1,0,0,6.0,1.0,2.36
1,0,0,1,0,0,0,6.0,0.0,1.726
1,1,0,0,1,1,0,1.0,1.0,3.767
1,0,1,1,0,0,1,8.0,0.0,2.256
0,0,0,0,0,1,1,7.0,0.0,2.017
0,1,0,0,1,1,0,3.0,1.0,2.968
1,1,1,0,0,0,0,9.0,0.0,1.413
1,1,0,1,0,0,0,9.0,0.0,1.47
0,0,0,0,0,1,1,7.0,0.0,2.017
1,0,0,1,0,1,1,1.0,0.0,3.743
1,1,0,0,0,1,0,2.0,0.0,2.9
0,1,0,1,0,1,1,5.0,1.0,2.787
1,0,1,1,0,1,1,4.0,0.0,3.899
0,1,0,1,0,0,0,10.0,0.0,0.77
1,0,0,1,0,1,0,2.0,0.0,3.369
1,0,1,0,0,1,1,1.0,0.0,3.686
0,0,0,1,1,0,1,3.0,0.0,2.948
1,0,1,0,0,1,0,2.0,0.0,3.312
1,1,1,0,0,1,0,5.0,0.0,3.056
1,1,1,0,1,0,0,5.0,1.0,3.06
0,1,1,1,1,0,1,4.0,1.0,3.354
0,0,0,0,1,1,1,6.0,1.0,2.884
1,1,0,1,0,1,0,5.0,0.0,3.113
1,0,1,0,0,1,0,2.0,0.0,3.312
1,0,0,1,0,0,0,6.0,0.0,1.726
1,0,0,0,0,1,0,7.0,0.0,2.343
0,1,1,1,1,0,0,5.0,0.0,2.98
1,0,0,0,1,1,1,5.0,1.0,3.583
0,0,1,0,1,1,0,3.0,1.0,3.38
0,0,1,1,1,0,1,5.0,0.0,3.203
1,0,1,0,1,0,1,1.0,1.0,3.69
1,0,1,1,0,1,0,5.0,0.0,3.525
1,0,1,0,1,1,1,0.0,1.0,4.553
1,1,1,0,0,1,0,5.0,0.0,3.056
0,0,0,1,1,0,1,3.0,0.0,2.948
0,1,1,1,0,0,1,8.0,1.0,1.707
1,1,0,0,0,0,0,6.0,0.0,1.257
1,1,0,0,1,1,1,0.0,2.0,4.141
0,1,1,1,0,0,0,9.0,0.0,1.333
1,0,1,0,1,1,0,1.0,1.0,4.179
0,0,0,1,1,0,0,4.0,0.0,2.573
0,1,1,0,0,1,0,6.0,0.0,2.357
1,0,1,1,0,0,1,8.0,0.0,2.256
1,1,1,1,0,0,0,8.0,0.0,2.033
0,1,1,1,1,1,1,3.0,1.0,4.217
0,1,1,1,1,0,1,4.0,1.0,3.354
1,0,1,1,0,0,1,8.0,0.0,2.256
0,0,0,1,1,1,1,2.0,0.0,3.811
0,1,0,0,1,1,0,3.0,1.0,2.968
0,0,1,0,1,0,1,3.0,1.0,2.891
0,1,1,0,1,0,0,6.0,1.0,2.36
1,1,1,1,1,0,0,4.0,0.0,3.679
0,0,1,1,1,1,0,5.0,0.0,3.692
0,1,1,1,1,0,1,4.0,1.0,3.354
0,1,0,1,0,0,0,10.0,0.0,0.77
0,1,1,0,1,1,1,4.0,2.0,3.598
1,0,0,1,1,1,1,0.0,0.0,4.61
1,1,1,0,0,1,1,4.0,1.0,3.43
1,1,0,1,1,1,0,4.0,0.0,3.98
1,0,1,0,0,0,0,6.0,0.0,1.669
0,0,1,1,1,0,0,6.0,0.0,2.829
0,0,0,0,1,0,1,7.0,1.0,2.02
1,1,0,0,0,0,0,6.0,0.0,1.257
1,0,1,1,0,0,0,9.0,0.0,1.882
0,1,0,1,0,0,0,10.0,0.0,0.77
1,0,1,1,0,0,1,8.0,0.0,2.256
0,1,0,1,0,0,0,10.0,0.0,0.77
0,1,0,0,1,0,0,4.0,1.0,2.105
1,0,0,0,0,0,0,11.0,0.0,0.7
0,0,1,0,0,1,0,4.0,0.0,2.514
0,0,1,0,1,1,1,2.0,1.0,3.754
0,1,0,1,1,0,1,5.0,1.0,2.791
0,0,1,1,0,1,1,5.0,0.0,3.2
0,0,0,1,0,0,1,7.0,0.0,1.301
1,1,1,0,1,1,0,4.0,1.0,3.923
0,1,0,0,1,0,0,4.0,1.0,2.105
0,1,0,0,1,0,1,3.0,2.0,2.479
0,1,1,1,1,1,0,4.0,0.0,3.843
0,1,0,0,0,0,0,8.0,0.0,0.458
0,1,0,1,1,0,1,5.0,1.0,2.791
0,0,0,0,0,1,0,8.0,0.0,1.643
1,1,1,1,1,0,0,4.0,0.0,3.679
1,1,0,1,1,0,0,5.0,0.0,3.116
0,0,1,0,0,1,1,3.0,0.0,2.888
0,1,0,1,1,0,0,6.0,0.0,2.417
0,0,1,1,1,1,0,5.0,0.0,3.692
0,1,0,0,1,1,0,3.0,1.0,2.968
0,1,1,1,0,0,1,8.0,1.0,1.707
1,0,1,1,1,1,1,3.0,0.0,4.766
0,1,0,1,0,1,0,6.0,0.0,2.413
0,0,1,0,0,0,0,8.0,0.0,0.871
1,1,0,1,0,1,1,4.0,1.0,3.487
1,0,1,0,0,0,1,5.0,0.0,2.044
1,0,1,1,0,1,0,5.0,0.0,3.525
1,0,1,0,0,0,0,6.0,0.0,1.669
0,0,0,0,0,1,1,7.0,0.0,2.017
1,0,0,1,1,0,1,1.0,0.0,3.746
0,1,0,0,1,1,0,3.0,1.0,2.968
0,1,1,0,1,1,1,4.0,2.0,3.598
0,1,0,0,1,0,0,4.0,1.0,2.105
0,1,1,1,1,0,1,4.0,1.0,3.354
0,0,1,1,0,0,1,9.0,0.0,1.557
0,0,1,0,1,0,1,3.0,1.0,2.891
0,0,0,0,1,0,1,7.0,1.0,2.02
0,1,1,0,0,0,0,10.0,0.0,0.714
0,0,1,1,0,0,1,9.0,0.0,1.557
0,1,1,1,1,1,1,3.0,1.0,4.217
0,1,1,0,0,0,1,9.0,1.0,1.088
0,0,1,1,1,0,0,6.0,0.0,2.829
0,1,1,0,1,1,1,4.0,2.0,3.598
0,1,0,1,0,0,0,10.0,0.0,0.77
0,1,1,0,1,1,0,5.0,1.0,3.223
1,0,1,1,1,0,0,5.0,0.0,3.528
1,0,1,0,1,1,1,0.0,1.0,4.553
1,0,0,1,0,1,0,2.0,0.0,3.369
0,0,1,0,1,0,0,4.0,1.0,2.517
1,1,1,1,1,1,0,3.0,0.0,4.543
1,0,1,1,0,0,1,8.0,0.0,2.256
0,1,1,1,1,1,1,3.0,1.0,4.217
0,0,1,0,0,1,1,3.0,0.0,2.888
0,0,0,0,1,0,0,8.0,1.0,1.646
0,0,1,1,1,1,0,5.0,0.0,3.692
1,1,1,1,0,1,0,4.0,0.0,3.676
1,0,1,0,1,0,1,1.0,1.0,3.69
1,1,1,1,0,1,1,3.0,1.0,4.05
0,0,1,0,0,0,0,8.0,0.0,0.871
0,0,1,0,1,0,1,3.0,1.0,2.891
1,1,1,1,1,1,0,3.0,0.0,4.543
1,1,1,1,1,0,0,4.0,0.0,3.679
0,0,0,0,1,0,1,7.0,1.0,2.02
1,0,1,0,1,1,1,0.0,1.0,4.553
0,0,0,0,1,1,0,7.0,1.0,2.51
1,1,0,0,1,0,0,2.0,1.0,2.903
1,1,1,0,0,1,0,5.0,0.0,3.056
1,0,0,1,1,1,0,1.0,0.0,4.236
1,1,0,0,0,0,0,6.0,0.0,1.257
0,1,0,1,0,1,0,6.0,0.0,2.413
1,0,0,1,1,1,1,0.0,0.0,4.61
1,0,0,1,1,0,0,2.0,0.0,3.372
1,0,0,0,0,0,1,10.0,0.0,1.074
0,0,1,0,1,0,1,3.0,1.0,2.891
0,1,0,1,0,1,0,6.0,0.0,2.413
1,1,0,1,1,1,0,4.0,0.0,3.98
0,1,0,0,0,0,0,8.0,0.0,0.458
0,0,1,0,0,1,1,3.0,0.0,2.888
0,0,0,1,1,0,0,4.0,0.0,2.573
1,1,1,1,0,0,0,8.0,0.0,2.033
0,1,0,1,0,0,0,10.0,0.0,0.77
0,1,1,1,0,1,0,5.0,0.0,2.976
1,0,1,1,1,1,1,3.0,0.0,4.766
1,0,1,0,0,0,0,6.0,0.0,1.669
0,1,0,0,1,1,0,3.0,1.0,2.968
1,0,0,1,1,1,0,1.0,0.0,4.236
1,0,0,1,1,1,0,1.0,0.0,4.236
0,1,0,1,0,1,1,5.0,1.0,2.787
1,0,0,0,0,0,1,10.0,0.0,1.074
0,0,1,1,1,0,0,6.0,0.0,2.829
0,1,0,1,0,0,0,10.0,0.0,0.77
1,1,0,1,0,1,1,4.0,1.0,3.487
0,0,1,0,0,1,1,3.0,0.0,2.888
1,0,0,1,0,0,0,6.0,0.0,1.726
0,0,1,1,1,0,1,5.0,0.0,3.203
1,0,1,1,0,1,1,4.0,0.0,3.899
1,0,0,0,1,0,1,6.0,1.0,2.72
0,0,1,0,0,0,1,7.0,0.0,1.245
1,1,0,1,1,1,0,4.0,0.0,3.98
1,1,0,1,0,0,0,9.0,0.0,1.47
1,1,1,1,0,1,1,3.0,1.0,4.05
1,0,1,0,1,0,1,1.0,1.0,3.69
0,1,0,0,0,0,0,8.0,0.0,0.458
1,0,0,1,0,0,1,5.0,0.0,2.1
1,1,1,0,1,1,1,3.0,2.0,4.297
1,0,1,1,1,0,1,4.0,0.0,3.902
0,1,1,0,1,0,1,5.0,2.0,2.734
1,1,0,1,1,1,1,3.0,1.0,4.354
1,0,0,0,1,0,0,7.0,1.0,2.346
1,0,0,0,0,0,1,10.0,0.0,1.074
0,0,0,1,0,1,0,4.0,0.0,2.57
0,0,0,1,0,0,1,7.0,0.0,1.301
1,0,1,1,1,1,1,3.0,0.0,4.766
1,1,0,0,0,0,1,5.0,1.0,1.631
0,1,0,1,1,1,0,5.0,0.0,3.28
0,1,1,1,0,1,0,5.0,0.0,2.976
1,1,1,1,0,1,1,3.0,1.0,4.05
1,1,1,1,1,1,0,3.0,0.0,4.543
1,1,0,1,0,0,1,8.0,1.0,1.844
0,0,1,1,0,1,0,6.0,0.0,2.826
1,1,1,0,0,1,1,4.0,1.0,3.43
0,0,1,0,0,1,0,4.0,0.0,2.514
0,1,1,1,1,0,1,4.0,1.0,3.354
1,0,0,1,0,0,1,5.0,0.0,2.1
0,0,1,0,0,0,1,7.0,0.0,1.245
1,1,1,0,0,0,1,8.0,1.0,1.788
1,0,1,0,1,1,0,1.0,1.0,4.179
1,0,1,0,1,0,0,2.0,1.0,3.316
0,0,0,1,1,1,1,2.0,0.0,3.811
1,1,0,0,0,1,0,2.0,0.0,2.9
1,0,0,0,0,0,0,11.0,0.0,0.7
0,0,0,1,1,1,0,3.0,0.0,3.437
0,0,0,1,0,1,1,3.0,0.0,2.944
0,1,0,0,0,1,1,3.0,1.0,2.476
0,1,1,0,0,0,0,10.0,0.0,0.714
1,0,0,0,0,1,1,6.0,0.0,2.717
1,0,0,0,0,1,1,6.0,0.0,2.717
1,0,0,1,1,0,0,2.0,0.0,3.372
0,1,1,0,0,0,1,9.0,1.0,1.088
0,1,1,0,0,1,0,6.0,0.0,2.357
0,1,1,1,0,1,0,5.0,0.0,2.976
1,0,0,1,0,1,1,1.0,0.0,3.743
1,1,1,0,1,1,1,3.0,2.0,4.297
1,0,1,1,1,1,1,3.0,0.0,4.766
0,0,1,0,1,0,0,4.0,1.0,2.517
0,0,0,0,0,0,0,12.0,0.0,0.0
0,0,0,1,1,1,0,3.0,0.0,3.437
0,1,1,1,1,0,1,4.0,1.0,3.354
1,0,1,1,0,0,0,9.0,0.0,1.882
0,0,0,1,1,1,0,3.0,0.0,3.437
0,1,1,0,1,0,1,5.0,2.0,2.734
0,1,0,1,1,0,0,6.0,0.0,2.417
0,0,1,1,1,0,0,6.0,0.0,2.829
0,0,1,0,1,1,1,2.0,1.0,3.754
0,0,0,0,1,0,0,8.0,1.0,1.646
0,1,1,1,1,1,1,3.0,1.0,4.217
0,1,0,0,1,0,1,3.0,2.0,2.479
0,0,1,1,0,1,1,5.0,0.0,3.2
1,0,0,1,1,0,0,2.0,0.0,3.372
0,1,0,0,1,0,0,4.0,1.0,2.105
1,1,0,1,1,0,1,4.0,1.0,3.49
1,1,1,1,1,1,1,2.0,1.0,4.917
0,0,0,1,0,1,1,3.0,0.0,2.944
0,0,1,1,0,0,1,9.0,0.0,1.557
1,0,0,1,0,0,1,5.0,0.0,2.1
1,1,0,1,0,1,1,4.0,1.0,3.487
1,0,0,1,1,0,0,2.0,0.0,3.372
0,0,1,0,1,0,1,3.0,1.0,2.891
0,1,1,1,1,0,1,4.0,1.0,3.354
1,0,1,0,1,0,1,1.0,1.0,3.69
1,1,1,0,1,0,0,5.0,1.0,3.06
0,0,0,1,1,0,1,3.0,0.0,2.948
0,1,1,1,1,1,0,4.0,0.0,3.843
0,0,1,0,0,1,1,3.0,0.0,2.888
1,1,0,0,0,0,0,6.0,0.0,1.257
1,0,0,1,0,1,1,1.0,0.0,3.743
0,1,1,1,0,0,1,8.0,1.0,1.707
0,1,0,1,1,0,1,5.0,1.0,2.791
0,0,1,0,0,0,1,7.0,0.0,1.245
1,0,1,0,0,0,0,6.0,0.0,1.669
0,1,1,1,1,0,0,5.0,0.0,2.98
1,0,1,0,1,0,1,1.0,1.0,3.69
0,1,1,1,1,0,0,5.0,0.0,2.98
1,0,1,0,0,0,0,6.0,0.0,1.669
0,1,0,1,1,1,0,5.0,0.0,3.28
0,1,1,1,1,0,1,4.0,1.0,3.354
0,0,1,1,0,0,0,10.0,0.0,1.183
1,1,1,0,1,1,0,4.0,1.0,3.923
0,1,0,1,1,1,1,4.0,1.0,3.654
0,0,1,1,0,0,1,9.0,0.0,1.557
1,1,0,0,1,0,1,1.0,2.0,3.277
1,1,0,0,0,1,0,2.0,0.0,2.9
1,0,0,1,1,1,0,1.0,0.0,4.236
1,0,0,0,0,1,1,6.0,0.0,2.717
0,0,0,1,1,1,1,2.0,0.0,3.811
1,1,0,1,1,0,1,4.0,1.0,3.49
1,0,0,0,1,0,0,7.0,1.0,2.346
1,1,1,1,1,0,0,4.0,0.0,3.679
1,1,1,0,1,0,0,5.0,1.0,3.06
0,0,1,0,1,1,0,3.0,1.0,3.38
0,0,0,0,1,1,0,7.0,1.0,2.51
0,1,0,0,0,0,0,8.0,0.0,0.458
0,0,0,1,0,0,0,8.0,0.0,0.927
1,1,0,1,1,0,1,4.0,1.0,3.49
1,1,1,1,0,0,0,8.0,0.0,2.033
1,0,0,1,1,1,0,1.0,0.0,4.236
1,1,1,0,1,0,0,5.0,1.0,3.06
0,0,0,0,1,0,0,8.0,1.0,1.646
0,0,1,1,0,0,0,10.0,0.0,1.183
0,1,1,1,0,1,1,4.0,1.0,3.35
0,0,0,0,0,1,0,8.0,0.0,1.643
1,0,1,1,0,0,1,8.0,0.0,2.256
0,0,0,1,0,1,0,4.0,0.0,2.57
0,1,0,0,0,1,1,3.0,1.0,2.476
1,1,1,1,1,1,0,3.0,0.0,4.543
0,1,1,1,1,0,0,5.0,0.0,2.98
0,0,0,0,0,1,0,8.0,0.0,1.643
0,0,0,1,0,1,1,3.0,0.0,2.944
1,1,1,0,1,0,0,5.0,1.0,3.06
1,0,0,0,1,1,0,6.0,1.0,3.209
0,1,0,1,1,0,1,5.0,1.0,2.791
0,0,1,0,1,1,0,3.0,1.0,3.38
0,1,0,0,1,0,1,3.0,2.0,2.479
1,0,1,1,1,1,1,3.0,0.0,4.766
1,0,1,1,0,1,0,5.0,0.0,3.525
1,0,1,1,0,1,1,4.0,0.0,3.899
0,1,0,0,1,1,0,3.0,1.0,2.968
1,0,0,0,1,1,1,5.0,1.0,3.583
0,1,1,1,0,1,0,5.0,0.0,2.976
0,1,0,1,0,1,0,6.0,0.0,2.413
1,0,1,0,0,1,0,2.0,0.0,3.312
0,0,1,0,0,0,1,7.0,0.0,1.245
1,0,0,1,0,1,0,2.0,0.0,3.369
1,0,0,0,0,1,0,7.0,0.0,2.343
0,0,0,1,1,0,1,3.0,0.0,2.948
1,1,0,1,1,1,0,4.0,0.0,3.98
0,1,0,0,0,1,1,3.0,1.0,2.476
1,0,1,1,0,0,1,8.0,0.0,2.256
1,1,0,1,0,0,0,9.0,0.0,1.47
1,0,1,0,0,1,1,1.0,0.0,3.686
0,0,0,1,1,0,0,4.0,0.0,2.573
1,0,0,1,0,1,1,1.0,0.0,3.743
0,0,1,1,0,1,1,5.0,0.0,3.2
1,1,0,0,0,1,1,1.0,1.0,3.274
1,1,0,1,0,1,1,4.0,1.0,3.487
1,1,1,1,1,0,1,3.0,1.0,4.053
0,1,0,1,1,1,1,4.0,1.0,3.654
1,1,1,0,0,0,1,8.0,1.0,1.788
1,0,1,1,1,0,0,5.0,0.0,3.528
0,1,0,1,1,0,1,5.0,1.0,2.791
1,0,0,1,1,1,0,1.0,0.0,4.236
1,0,0,1,1,0,1,1.0,0.0,3.746
0,0,1,0,1,1,0,3.0,1.0,3.38
0,0,1,0,1,1,1,2.0,1.0,3.754
1,0,0,1,0,1,0,2.0,0.0,3.369
1,0,0,0,1,1,0,6.0,1.0,3.209
0,0,0,1,0,0,0,8.0,0.0,0.927
1,0,1,0,1,0,0,2.0,1.0,3.316
1,0,0,0,1,0,0,7.0,1.0,2.346
1,0,1,1,1,1,0,4.0,0.0,4.392
0,0,1,0,0,0,1,7.0,0.0,1.245
0,0,0,1,1,0,1,3.0,0.0,2.948
1,1,1,0,1,1,1,3.0,2.0,4.297
0,0,0,1,1,0,1,3.0,0.0,2.948
1,1,0,1,0,0,1,8.0,1.0,1.844
1,1,0,0,0,0,0,6.0,0.0,1.257
1,1,0,0,0,0,0,6.0,0.0,1.257
0,0,1,0,0,1,0,4.0,0.0,2.514
0,1,0,0,1,1,0,3.0,1.0,2.968
1,1,1,0,0,0,1,8.0,1.0,1.788
0,1,0,0,0,1,1,3.0,1.0,2.476
0,1,0,1,1,0,0,6.0,0.0,2.417
1,1,0,1,1,1,1,3.0,1.0,4.354
0,0,0,0,1,0,1,7.0,1.0,2.02
0,1,0,0,0,0,1,7.0,1.0,0.833
